Kategorie,Frage,Antwort
CC-BY 2.0 (France) Attribution: tatoeba.org #2111934 (CK) & #4942907 (Hans_Adler),Kommt wieder.,Come again.
CC-BY 2.0 (France) Attribution: tatoeba.org #2111934 (CK) & #4942908 (Hans_Adler),Kommen Sie wieder.,Come again.
CC-BY 2.0 (France) Attribution: tatoeba.org #2111933 (CK) & #4942903 (Hans_Adler),Komm allein.,Come alone.
CC-BY 2.0 (France) Attribution: tatoeba.org #2111933 (CK) & #4942904 (Hans_Adler),Kommen Sie allein.,Come alone.
CC-BY 2.0 (France) Attribution: tatoeba.org #2111933 (CK) & #4942905 (Hans_Adler),Kommt allein.,Come alone.
CC-BY 2.0 (France) Attribution: tatoeba.org #54223 (CK) & #397812 (MikeMolto),Komm mit.,Come along.
CC-BY 2.0 (France) Attribution: tatoeba.org #54223 (CK) & #397813 (MikeMolto),Kommt mit.,Come along.
CC-BY 2.0 (France) Attribution: tatoeba.org #3825027 (CK) & #4942965 (Hans_Adler),Kommen Sie frühzeitig.,Come early.
CC-BY 2.0 (France) Attribution: tatoeba.org #3825027 (CK) & #4942966 (Hans_Adler),Komm frühzeitig.,Come early.
CC-BY 2.0 (France) Attribution: tatoeba.org #54229 (CK) & #698517 (ELPHONY),Komm rein!,Come on in!
CC-BY 2.0 (France) Attribution: tatoeba.org #54229 (CK) & #1735337 (Pfirsichbaeumchen),Komm doch herein!,Come on in!
CC-BY 2.0 (France) Attribution: tatoeba.org #348107 (Zifre) & #361822 (Wolf),Komm herein.,Come on in.
CC-BY 2.0 (France) Attribution: tatoeba.org #274037 (CM) & #339044 (Sprachprofi),Komm schnell!,Come quick!
CC-BY 2.0 (France) Attribution: tatoeba.org #274037 (CM) & #1547625 (Manfredo),Kommt schnell!,Come quick!
CC-BY 2.0 (France) Attribution: tatoeba.org #274037 (CM) & #1547626 (Manfredo),Kommen Sie schnell!,Come quick!
CC-BY 2.0 (France) Attribution: tatoeba.org #2245214 (CK) & #6643312 (Felixjp),Komm zu mir.,Come to me.
CC-BY 2.0 (France) Attribution: tatoeba.org #2245215 (CK) & #6643311 (Felixjp),Komm zu uns.,Come to us.
CC-BY 2.0 (France) Attribution: tatoeba.org #30542 (CM) & #778369 (BraveSentry),Auf jeden Fall!,Definitely!
